FIRST,FOLLOW,Nonterminal,IDENTIFIER,OPAR,CPAR,OKEY,CKEY,COMMA,MAIN,FOR,DOTCOMMA,PLUS,IF,ELSE,PRINT,RETURN,ASSIGN,MINUS,AND,OR,EQUAL,NOTEQUAL,GREATERTH,LESSTH,GREATEQTH,LESSEQTH,MULT,DIV,MOD,NOT,VINTEGER,VFLOAT,VSTRING,VCHAR,VTRUE,VFALSE,DTINTEGER,DTFLOAT,DTSTRING,DTCHAR,DTBOOL,DTVOID,$
"IF, ε",CKEY,IFELSES,,,,,ε,,,,,,IF OPAR EXPRESSION CPAR OKEY STATEMENTS LOOPS IFELSES CKEY ELSE',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELSE, ε",CKEY,ELSE',,,,,ε,,,,,,,ELSE OKEY STATEMENTS LOOPS IFELSES CKEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRINT, DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID, RETURN, ε","IF, OKEY, CKEY, FOR, $",STATEMENTS,,,,ε,ε,,,ε,,,ε,,PRINT OPAR EXPRESSION CPAR DOTCOMMA STATEMENTS,RETURN EXPRESSION DOTCOMMA STATEMENTS,,,,,,,,,,,,,,,,,,,,,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ASSIGNMENT STATEMENTS,ε
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID","RETURN, OKEY, PRINT, VFLOAT, IDENTIFIER, OPAR, DTFLOAT, DTVOID, FOR, VCHAR, VFALSE, IF, CKEY, VSTRING, DTBOOL, $, VINTEGER, DTCHAR, VTRUE, DTSTRING, DTINTEGER, NOT",ASSIGNMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,DATATYPE IDENTIFIER ASSIGN EXPRESSION DOTCOMMA,
"VINTEGER, VFLOAT, VSTRING, VCHAR, VTRUE, VFALSE, IDENTIFIER, OPAR, NOT","DOTCOMMA, CPAR",EXPRESSION,TERM EXPRESSION',TERM EXPRESSION',,,,,,,,,,,,,,,,,,,,,,,,,,TERM EXPRESSION',TERM EXPRESSION',TERM EXPRESSION',TERM EXPRESSION',TERM EXPRESSION',TERM EXPRESSION',TERM EXPRESSION',,,,,,,
"PLUS, MINUS, AND, OR, EQUAL, NOTEQUAL, GREATERTH, LESSTH, GREATEQTH, LESSEQTH, ε","DOTCOMMA, CPAR",EXPRESSION',,,ε,,,,,,ε,PLUS TERM EXPRESSION',,,,,,MINUS TERM EXPRESSION',AND TERM EXPRESSION',OR TERM EXPRESSION',EQUAL TERM EXPRESSION',NOTEQUAL TERM EXPRESSION',GREATERTH TERM EXPRESSION',LESSTH TERM EXPRESSION',GREATEQTH TERM EXPRESSION',LESSEQTH TERM EXPRESSION',,,,,,,,,,,,,,,,,
"VINTEGER, VFLOAT, VSTRING, VCHAR, VTRUE, VFALSE, IDENTIFIER, OPAR, NOT","MINUS, NOTEQUAL, EQUAL, PLUS, LESSEQTH, GREATEQTH, GREATERTH, CPAR, LESSTH, OR, DOTCOMMA, AND",TERM,FACTOR TERM',FACTOR TERM',,,,,,,,,,,,,,,,,,,,,,,,,,FACTOR TERM',FACTOR TERM',FACTOR TERM',FACTOR TERM',FACTOR TERM',FACTOR TERM',FACTOR TERM',,,,,,,
"MULT, DIV, MOD, ε","MINUS, NOTEQUAL, EQUAL, PLUS, LESSEQTH, GREATEQTH, GREATERTH, CPAR, LESSTH, OR, DOTCOMMA, AND",TERM',,,ε,,,,,,ε,ε,,,,,,ε,ε,ε,ε,ε,ε,ε,ε,ε,MULT FACTOR TERM',DIV FACTOR TERM',MOD FACTOR TERM',,,,,,,,,,,,,,
"VINTEGER, VFLOAT, VSTRING, VCHAR, VTRUE, VFALSE, IDENTIFIER, OPAR, NOT","MULT, MINUS, NOTEQUAL, EQUAL, PLUS, LESSEQTH, GREATEQTH, GREATERTH, CPAR, DIV, MOD, LESSTH, OR, DOTCOMMA, AND",FACTOR,DVORID,OPAR EXPRESSION CPAR,,,,,,,,,,,,,,,,,,,,,,,,,,NOT FACTOR,DVORID,DVORID,DVORID,DVORID,DVORID,DVORID,,,,,,,
"VINTEGER, VFLOAT, VSTRING, VCHAR, VTRUE, VFALSE, IDENTIFIER","MULT, MINUS, NOTEQUAL, EQUAL, PLUS, LESSEQTH, GREATEQTH, GREATERTH, CPAR, DIV, MOD, LESSTH, OR, DOTCOMMA, AND",DVORID,IDENTIFIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,VINTEGER,VFLOAT,VSTRING,VCHAR,VTRUE,VFALSE,,,,,,,
"DTINTEGER, DTFLOAT, DTSTRING, DTCHAR, DTBOOL, DTVOID",IDENTIFIER,DATATYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DTINTEGER,DTFLOAT,DTSTRING,DTCHAR,DTBOOL,DTVOID,
